,cik,first_date,last_date,min_cos,max_cos,avg_cos,min_jaccard,max_jaccard,avg_jaccard,ticker
0,1090872,,,,,,,,,a
1,1675149,,,,,,,,,aa
2,1420529,,,,,,,,,aacg
3,1802457,,,,,,,,,aacq
4,1209028,2004-03-15,2020-02-24,0.8306534356210326,0.9184061417210364,0.8794536355842928,0.7095079670810717,0.849112426035503,0.7853779831994503,aaic
5,6201,,,,,,,,,aal
6,1555074,2013-02-07,2020-02-28,0.7292568316921517,0.9010385327665636,0.856109290674906,0.5631856077226853,0.8198660714285714,0.7498508496278059,aamc
7,8177,,,,,,,,,aame
8,1808834,,,,,,,,,aan
9,1158114,2014-03-06,2019-02-26,0.9257513982275808,0.9309297120192588,0.9284564666100141,0.8616861121565675,0.8707437275985663,0.8659635526743555,aaoi
10,824142,,,,,,,,,aaon
11,1158449,,,,,,,,,aap
12,320193,,,,,,,,,aapl
13,1500217,2011-03-30,2019-02-15,0.8364542874593422,0.9613953633666564,0.9195031421534184,0.7169678891033515,0.9256559766763848,0.853115744599412,aat
14,1015647,,,,,,,,,aau
15,1135185,,,,,,,,,aaww
16,1069183,2004-03-04,2019-02-27,0.7229313052742982,0.9091613625516192,0.8563171706728941,0.5561557086980816,0.8334345274235985,0.7500439347795157,aaxn
17,825313,2001-04-02,2019-02-13,0.7862856156633617,0.9357481148554384,0.8778218472763339,0.6303099885189437,0.8791505140738244,0.7831796015311379,ab
18,1091587,,,,,,,,,abb
19,1551152,2013-03-15,2019-02-27,0.8546459942817868,0.9220233719344164,0.9026908423371117,0.7460343963933879,0.8549070152826367,0.823268807291884,abbv
20,1140859,2001-12-28,2018-11-20,0.8409463478028298,0.9350485137257412,0.893452277007889,0.7225682798275036,0.8778290485607558,0.8079858562292075,abc
21,351569,,,,,,,,,abcb
22,1492074,,,,,,,,,abcm
23,318306,,,,,,,,,abeo
24,1565025,,,,,,,,,abev
25,1144980,2003-03-25,2019-02-28,0.8232644117767633,0.9299803968846612,0.8839975960471446,0.6995908825248393,0.8690529124055135,0.7936910450928678,abg
26,907654,,,,,,,,,abio
27,771497,,,,,,,,,abm
28,815094,,,,,,,,,abmd
29,1253986,2005-03-31,2020-02-14,0.8641099611288693,0.948098380723094,0.9155891842129092,0.7593984962406015,0.9012600702334228,0.8445329348890522,abr
30,1071058,,,,,,,,,abst
31,1800,2001-02-15,2019-02-22,0.8376597692444838,0.9333069201095004,0.8920139402993582,0.7152711703139867,0.8749521256223669,0.8052886702114526,abt
32,1642081,2016-03-22,2020-03-09,0.8806516189539446,0.9413227494099196,0.9020520409325128,0.7857891061452514,0.8891250442791356,0.8221950810778964,abtx
33,1447028,2014-03-28,2020-03-05,0.7632184750180312,0.8744680367234501,0.8272784058144463,0.6169064748201439,0.7769258853596203,0.7074147847438654,abus
34,1642122,2016-03-24,2020-03-16,0.8222772366054372,0.9305348790002372,0.8961495281289372,0.6899074671831289,0.8700880395104145,0.8124968054072806,ac
35,1739445,,,,,,,,,aca
36,1823878,,,,,,,,,acacu
37,1070494,2005-03-18,2019-02-27,0.8941450663714754,0.942675259723506,0.9226429725440762,0.8085280852808528,0.8915527671969528,0.8566042486469431,acad
38,1759008,,,,,,,,,acam
39,1683541,,,,,,,,,acb
40,1461755,2016-03-30,2020-03-16,0.8318711414011184,0.9143214656352644,0.8792555400705026,0.7092368106539184,0.8421359223300972,0.7850109556042724,acbi
41,1283630,,,,,,,,,acc
42,1481646,,,,,,,,,accd
43,712034,2006-03-22,2019-02-27,0.7632000651923145,0.927017632873103,0.8713262386836911,0.6154287901990811,0.8638387625966721,0.7740952925980035,acco
44,1698991,2018-02-14,2019-02-13,0.9732101308856868,0.9732101308856868,0.9732101308856868,0.9477911646586346,0.9477911646586346,0.9477911646586346,acel
45,1069308,2008-03-18,2020-03-18,0.6540758391056338,0.936123419133264,0.880655308412925,0.4793675889328064,0.8799112097669256,0.7927743908619628,acer
46,1720580,2018-03-29,2020-03-12,0.9078013649317804,0.9163323123607742,0.9120668386462774,0.8308973754518308,0.8449535192563081,0.8379254473540695,acet
47,1813658,,,,,,,,,acev
48,947484,,,,,,,,,acgl
49,1161611,,,,,,,,,ach
50,1520697,2012-03-13,2019-03-01,0.8545371443420853,0.9500654103093096,0.9128481089627061,0.7415951359084406,0.9047703809184764,0.8408918539384419,achc
51,949858,,,,,,,,,achv
52,1646972,,,,,,,,,aci
53,1651235,2017-02-23,2019-02-21,0.8614132587322421,0.9175069065569648,0.8894600826446034,0.756561922365989,0.8474706674360454,0.8020162949010172,acia
54,1651625,,,,,,,,,aciu
55,935036,2000-12-29,2019-03-01,0.7982288644099607,0.9377998739499128,0.8859278446636555,0.6544104649107301,0.8826431718061674,0.7970238700254987,aciw
56,1113232,2001-03-30,2020-03-02,0.8548352771385139,0.9366600943445964,0.9029432391426105,0.7462562396006656,0.8808250572956455,0.8237838040679675,acls
57,868857,2007-12-13,2018-11-13,0.8671015521125265,0.9538027256547436,0.9214185097056228,0.7652824808412048,0.9116844975875812,0.8549012360443043,acm
58,1680062,2018-03-23,2020-03-24,0.905334022652338,0.9104733886384201,0.907903705645379,0.8260637350899056,0.8351409978308026,0.8306023664603541,acmr
59,1467373,2009-10-19,2018-10-24,0.8658442334921636,0.9391628474967092,0.9160026685520725,0.7631910678912299,0.8852988691437803,0.8455245947835996,acn
60,715579,,,,,,,,,acnb
61,1805651,,,,,,,,,acnd
62,1008848,2006-03-31,2019-02-27,0.8556948596177073,0.9473796646779821,0.9107870467677268,0.7468706536856745,0.8999068901303539,0.8366329325279829,acor
